Restricted Diet,Ad libitum Diet
105,89
193,104
211,387
236,465
302,479
363,494
389,496
390,514
391,532
403,536
530,545
604,547
605,548
630,582
716,606
718,609
727,619
731,620
749,621
769,630
770,635
789,639
804,648
810,652
811,653
833,654
868,660
871,665
875,667
893,668
897,670
901,675
906,677
907,678
919,678
923,681
931,684
940,688
957,694
958,695
961,697
962,698
974,702
979,704
982,710
1001,711
1008,712
1010,715
1011,716
1012,717
1014,720
1017,721
1032,730
1039,731
1045,732
1046,733
1047,735
1057,736
1063,738
1070,739
1073,741
1076,743
1085,746
1090,749
1094,751
1099,753
1107,764
1119,765
1120,768
1128,770
1129,773
1131,777
1133,779
1136,780
1138,788
1144,791
1149,794
1160,796
1166,799
1170,801
1173,806
1181,807
1183,815
1188,836
1190,838
1203,850
1206,859
1209,894
1218,963
1220,
1221,
1228,
1230,
1231,
1233,
1239,
1244,
1258,
1268,
1294,
1316,
1327,
1328,
1369,
1393,
1435,
